Kode Cabang|No Anggota|No Pemesanan|No PO|Tgl Pemesanan|Kode Alamat|Kode PLU|Satuan|Harga (Rp)|Jml Pesanan|Bebas Biaya Pengiriman|Nama Penerima|Email|No Hp|Nama WP|NPWP|Alamat WP|Jarak
28|288167/web/bln/tgl|1140284/cor/05/2024|PO-14479/V/2024|15/05/2024|JL. RAYA MANADO BITUNG KOMPLEKS PERUM WATUTUMOU PERMAI JAGA 1, Kawangkoan Baru, Kalawat, Kab. Minahasa Utara, Sulawesi Utara, 95378|1189561|PCS|9600.00|1|Y|PT. INDOMARCO PRISMATAMA (MDO)|GA_ADM_1@MDO.INDOMARET.CO.ID|0431811220||||13.8 km
28|288167/web/bln/tgl|1140284/cor/05/2024|PO-14479/V/2024|15/05/2024|JL. RAYA MANADO BITUNG KOMPLEKS PERUM WATUTUMOU PERMAI JAGA 1, Kawangkoan Baru, Kalawat, Kab. Minahasa Utara, Sulawesi Utara, 95378|1102221|PCS|22000.00|3|Y|PT. INDOMARCO PRISMATAMA (MDO)|GA_ADM_1@MDO.INDOMARET.CO.ID|0431811220||||13.8 km
28|288167/web/bln/tgl|1140284/cor/05/2024|PO-14479/V/2024|15/05/2024|JL. RAYA MANADO BITUNG KOMPLEKS PERUM WATUTUMOU PERMAI JAGA 1, Kawangkoan Baru, Kalawat, Kab. Minahasa Utara, Sulawesi Utara, 95378|1709151|PCS|55000.00|17|Y|PT. INDOMARCO PRISMATAMA (MDO)|GA_ADM_1@MDO.INDOMARET.CO.ID|0431811220||||13.8 km
28|288167/web/bln/tgl|1140284/cor/05/2024|PO-14479/V/2024|15/05/2024|JL. RAYA MANADO BITUNG KOMPLEKS PERUM WATUTUMOU PERMAI JAGA 1, Kawangkoan Baru, Kalawat, Kab. Minahasa Utara, Sulawesi Utara, 95378|0015461|PCS|7500.00|1|Y|PT. INDOMARCO PRISMATAMA (MDO)|GA_ADM_1@MDO.INDOMARET.CO.ID|0431811220||||13.8 km
28|288167/web/bln/tgl|1140284/cor/05/2024|PO-14479/V/2024|15/05/2024|JL. RAYA MANADO BITUNG KOMPLEKS PERUM WATUTUMOU PERMAI JAGA 1, Kawangkoan Baru, Kalawat, Kab. Minahasa Utara, Sulawesi Utara, 95378|1162721|PCS|12300.00|2|Y|PT. INDOMARCO PRISMATAMA (MDO)|GA_ADM_1@MDO.INDOMARET.CO.ID|0431811220||||13.8 km
28|288167/web/bln/tgl|1140284/cor/05/2024|PO-14479/V/2024|15/05/2024|JL. RAYA MANADO BITUNG KOMPLEKS PERUM WATUTUMOU PERMAI JAGA 1, Kawangkoan Baru, Kalawat, Kab. Minahasa Utara, Sulawesi Utara, 95378|0000231|PCS|4500.00|15|Y|PT. INDOMARCO PRISMATAMA (MDO)|GA_ADM_1@MDO.INDOMARET.CO.ID|0431811220||||13.8 km
28|288167/web/bln/tgl|1140284/cor/05/2024|PO-14479/V/2024|15/05/2024|JL. RAYA MANADO BITUNG KOMPLEKS PERUM WATUTUMOU PERMAI JAGA 1, Kawangkoan Baru, Kalawat, Kab. Minahasa Utara, Sulawesi Utara, 95378|1006471|PCS|4750.00|6|Y|PT. INDOMARCO PRISMATAMA (MDO)|GA_ADM_1@MDO.INDOMARET.CO.ID|0431811220||||13.8 km
28|288167/web/bln/tgl|1140284/cor/05/2024|PO-14479/V/2024|15/05/2024|JL. RAYA MANADO BITUNG KOMPLEKS PERUM WATUTUMOU PERMAI JAGA 1, Kawangkoan Baru, Kalawat, Kab. Minahasa Utara, Sulawesi Utara, 95378|1336611|PCS|16500.00|2|Y|PT. INDOMARCO PRISMATAMA (MDO)|GA_ADM_1@MDO.INDOMARET.CO.ID|0431811220||||13.8 km
28|288167/web/bln/tgl|1140284/cor/05/2024|PO-14479/V/2024|15/05/2024|JL. RAYA MANADO BITUNG KOMPLEKS PERUM WATUTUMOU PERMAI JAGA 1, Kawangkoan Baru, Kalawat, Kab. Minahasa Utara, Sulawesi Utara, 95378|1336601|PCS|16500.00|27|Y|PT. INDOMARCO PRISMATAMA (MDO)|GA_ADM_1@MDO.INDOMARET.CO.ID|0431811220||||13.8 km
28|288167/web/bln/tgl|1140284/cor/05/2024|PO-14479/V/2024|15/05/2024|JL. RAYA MANADO BITUNG KOMPLEKS PERUM WATUTUMOU PERMAI JAGA 1, Kawangkoan Baru, Kalawat, Kab. Minahasa Utara, Sulawesi Utara, 95378|1709141|PCS|50000.00|140|Y|PT. INDOMARCO PRISMATAMA (MDO)|GA_ADM_1@MDO.INDOMARET.CO.ID|0431811220||||13.8 km
